sample	bam	group
SRR24742835	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742835/SRR24742835_Aligned.out.bam	Neuron_Cortex_2y
SRR24742836	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742836/SRR24742836_Aligned.out.bam	Neuron_Cortex_2y
SRR24742837	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742837/SRR24742837_Aligned.out.bam	Neuron_Cortex_2y
SRR24742838	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742838/SRR24742838_Aligned.out.bam	Astrocyte_Cortex_2y
SRR24742839	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742839/SRR24742839_Aligned.out.bam	Neuron_Cortex_4m
SRR24742840	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742840/SRR24742840_Aligned.out.bam	Neuron_Cortex_4m
SRR24742841	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742841/SRR24742841_Aligned.out.bam	Astrocyte_Cortex_2y
SRR24742842	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742842/SRR24742842_Aligned.out.bam	Astrocyte_Cortex_2y
SRR24742843	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742843/SRR24742843_Aligned.out.bam	Neuron_Cortex_4m
SRR24742844	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742844/SRR24742844_Aligned.out.bam	Astrocyte_Cortex_4m
SRR24742845	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742845/SRR24742845_Aligned.out.bam	Astrocyte_Cortex_4m
SRR24742846	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742846/SRR24742846_Aligned.out.bam	Neuron_Cerebellum_2y
SRR24742847	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742847/SRR24742847_Aligned.out.bam	Neuron_Cerebellum_2y
SRR24742848	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742848/SRR24742848_Aligned.out.bam	Neuron_Cerebellum_2y
SRR24742849	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742849/SRR24742849_Aligned.out.bam	Astrocyte_Cortex_4m
SRR24742850	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742850/SRR24742850_Aligned.out.bam	Astrocyte_Cerebellum_2y
SRR24742851	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742851/SRR24742851_Aligned.out.bam	Astrocyte_Cerebellum_2y
SRR24742852	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742852/SRR24742852_Aligned.out.bam	Neuron_Cerebellum_4m
SRR24742853	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742853/SRR24742853_Aligned.out.bam	Neuron_Cerebellum_4m
SRR24742854	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742854/SRR24742854_Aligned.out.bam	Astrocyte_Cerebellum_4m
SRR24742855	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742855/SRR24742855_Aligned.out.bam	Neuron_Cerebellum_4m
SRR24742856	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742856/SRR24742856_Aligned.out.bam	Astrocyte_Cerebellum_2y
SRR24742857	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742857/SRR24742857_Aligned.out.bam	Astrocyte_Cerebellum_4m
SRR24742858	/rhome/naotok/bigdata/neuron_aging/GEO_SRA/GSE233509/star/SRR24742858/SRR24742858_Aligned.out.bam	Astrocyte_Cerebellum_4m
